Innings,Over,Ball,batter,bowler,non_striker,runs_batter,runs_extras,runs_total,review_by,review_umpire,review_batter,review_decision,extras_wides,Wicket,Player_Out,extras_legbyes,extras_noballs
2,0,1,JJ Roy,TA Boult,Abhishek Sharma,0,0,0,,,,,,,,,
2,0,2,JJ Roy,TA Boult,Abhishek Sharma,0,0,0,,,,,,,,,
2,0,3,JJ Roy,TA Boult,Abhishek Sharma,2,0,2,,,,,,,,,
2,0,4,JJ Roy,TA Boult,Abhishek Sharma,1,0,1,,,,,,,,,
2,0,5,Abhishek Sharma,TA Boult,JJ Roy,0,0,0,Mumbai Indians,Tapan Sharma,Abhishek Sharma,struck down,,,,,
2,0,6,Abhishek Sharma,TA Boult,JJ Roy,2,0,2,,,,,,,,,
2,1,1,JJ Roy,JJ Bumrah,Abhishek Sharma,1,0,1,,,,,,,,,
2,1,2,Abhishek Sharma,JJ Bumrah,JJ Roy,1,0,1,,,,,,,,,
2,1,3,JJ Roy,JJ Bumrah,Abhishek Sharma,4,0,4,,,,,,,,,
2,1,4,JJ Roy,JJ Bumrah,Abhishek Sharma,0,0,0,,,,,,,,,
2,1,5,JJ Roy,JJ Bumrah,Abhishek Sharma,4,0,4,,,,,,,,,
2,1,6,JJ Roy,JJ Bumrah,Abhishek Sharma,0,0,0,,,,,,,,,
2,2,1,Abhishek Sharma,PP Chawla,JJ Roy,1,0,1,,,,,,,,,
2,2,2,JJ Roy,PP Chawla,Abhishek Sharma,4,0,4,,,,,,,,,
2,2,3,JJ Roy,PP Chawla,Abhishek Sharma,4,0,4,,,,,,,,,
2,2,4,JJ Roy,PP Chawla,Abhishek Sharma,0,0,0,,,,,,,,,
2,2,5,JJ Roy,PP Chawla,Abhishek Sharma,1,0,1,,,,,,,,,
2,2,6,Abhishek Sharma,PP Chawla,JJ Roy,6,0,6,,,,,,,,,
2,3,1,JJ Roy,JJ Bumrah,Abhishek Sharma,3,0,3,,,,,,,,,
2,3,2,Abhishek Sharma,JJ Bumrah,JJ Roy,1,0,1,,,,,,,,,
2,3,3,JJ Roy,JJ Bumrah,Abhishek Sharma,0,0,0,,,,,,,,,
2,3,4,JJ Roy,JJ Bumrah,Abhishek Sharma,0,5,5,,,,,5.0,,,,
2,3,5,JJ Roy,JJ Bumrah,Abhishek Sharma,4,0,4,,,,,,,,,
2,3,6,JJ Roy,JJ Bumrah,Abhishek Sharma,1,0,1,,,,,,,,,
2,3,7,Abhishek Sharma,JJ Bumrah,JJ Roy,2,0,2,,,,,,,,,
2,4,1,JJ Roy,NM Coulter-Nile,Abhishek Sharma,0,0,0,,,,,,,,,
2,4,2,JJ Roy,NM Coulter-Nile,Abhishek Sharma,1,0,1,,,,,,,,,
2,4,3,Abhishek Sharma,NM Coulter-Nile,JJ Roy,4,0,4,,,,,,,,,
2,4,4,Abhishek Sharma,NM Coulter-Nile,JJ Roy,4,0,4,,,,,,,,,
2,4,5,Abhishek Sharma,NM Coulter-Nile,JJ Roy,4,0,4,,,,,,,,,
2,4,6,Abhishek Sharma,NM Coulter-Nile,JJ Roy,0,0,0,,,,,,,,,
2,5,1,JJ Roy,TA Boult,Abhishek Sharma,4,0,4,,,,,,,,,
2,5,2,JJ Roy,TA Boult,Abhishek Sharma,0,0,0,,,,,,1.0,JJ Roy,,
2,5,3,Abhishek Sharma,TA Boult,MK Pandey,1,0,1,,,,,,,,,
2,5,4,MK Pandey,TA Boult,Abhishek Sharma,0,0,0,,,,,,,,,
2,5,5,MK Pandey,TA Boult,Abhishek Sharma,1,0,1,,,,,,,,,
2,5,6,Abhishek Sharma,TA Boult,MK Pandey,4,0,4,,,,,,,,,
2,6,1,MK Pandey,JDS Neesham,Abhishek Sharma,0,1,1,,,,,,,,1.0,
2,6,2,Abhishek Sharma,JDS Neesham,MK Pandey,1,0,1,,,,,,,,,
2,6,3,MK Pandey,JDS Neesham,Abhishek Sharma,4,0,4,,,,,,,,,
2,6,4,MK Pandey,JDS Neesham,Abhishek Sharma,1,0,1,,,,,,,,,
2,6,5,Abhishek Sharma,JDS Neesham,MK Pandey,2,0,2,,,,,,,,,
2,6,6,Abhishek Sharma,JDS Neesham,MK Pandey,0,0,0,,,,,,1.0,Abhishek Sharma,,
2,7,1,Mohammad Nabi,KH Pandya,MK Pandey,1,0,1,,,,,,,,,
2,7,2,MK Pandey,KH Pandya,Mohammad Nabi,1,0,1,,,,,,,,,
2,7,3,Mohammad Nabi,KH Pandya,MK Pandey,1,0,1,,,,,,,,,
2,7,4,MK Pandey,KH Pandya,Mohammad Nabi,6,1,7,,,,,,,,,1.0
2,7,5,MK Pandey,KH Pandya,Mohammad Nabi,4,0,4,,,,,,,,,
2,7,6,MK Pandey,KH Pandya,Mohammad Nabi,2,0,2,,,,,,,,,
2,7,7,MK Pandey,KH Pandya,Mohammad Nabi,0,0,0,,,,,,,,,
2,8,1,Mohammad Nabi,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,8,2,MK Pandey,PP Chawla,Mohammad Nabi,1,0,1,,,,,,,,,
2,8,3,Mohammad Nabi,PP Chawla,MK Pandey,0,0,0,,,,,,1.0,Mohammad Nabi,,
2,8,4,Abdul Samad,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,8,5,MK Pandey,PP Chawla,Abdul Samad,1,0,1,,,,,,,,,
2,8,6,Abdul Samad,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,9,1,Abdul Samad,JDS Neesham,MK Pandey,0,0,0,,,,,,1.0,Abdul Samad,,
2,9,2,PK Garg,JDS Neesham,MK Pandey,0,1,1,,,,,,,,1.0,
2,9,3,MK Pandey,JDS Neesham,PK Garg,1,0,1,,,,,,,,,
2,9,4,PK Garg,JDS Neesham,MK Pandey,1,0,1,,,,,,,,,
2,9,5,MK Pandey,JDS Neesham,PK Garg,1,0,1,,,,,,,,,
2,9,6,PK Garg,JDS Neesham,MK Pandey,1,0,1,,,,,,,,,
2,10,1,PK Garg,PP Chawla,MK Pandey,0,0,0,,,,,,,,,
2,10,2,PK Garg,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,10,3,MK Pandey,PP Chawla,PK Garg,1,0,1,,,,,,,,,
2,10,4,PK Garg,PP Chawla,MK Pandey,2,0,2,,,,,,,,,
2,10,5,PK Garg,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,10,6,MK Pandey,PP Chawla,PK Garg,1,0,1,,,,,,,,,
2,11,1,MK Pandey,JDS Neesham,PK Garg,4,0,4,,,,,,,,,
2,11,2,MK Pandey,JDS Neesham,PK Garg,1,0,1,,,,,,,,,
2,11,3,PK Garg,JDS Neesham,MK Pandey,4,0,4,,,,,,,,,
2,11,4,PK Garg,JDS Neesham,MK Pandey,6,0,6,,,,,,,,,
2,11,5,PK Garg,JDS Neesham,MK Pandey,1,0,1,,,,,,,,,
2,11,6,MK Pandey,JDS Neesham,PK Garg,0,0,0,,,,,,,,,
2,12,1,PK Garg,PP Chawla,MK Pandey,4,0,4,,,,,,,,,
2,12,2,PK Garg,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,12,3,MK Pandey,PP Chawla,PK Garg,2,0,2,,,,,,,,,
2,12,4,MK Pandey,PP Chawla,PK Garg,1,0,1,,,,,,,,,
2,12,5,PK Garg,PP Chawla,MK Pandey,2,0,2,,,,,,,,,
2,12,6,PK Garg,PP Chawla,MK Pandey,1,0,1,,,,,,,,,
2,13,1,PK Garg,TA Boult,MK Pandey,0,0,0,,,,,,,,,
2,13,2,PK Garg,TA Boult,MK Pandey,1,0,1,,,,,,,,,
2,13,3,MK Pandey,TA Boult,PK Garg,1,0,1,,,,,,,,,
2,13,4,PK Garg,TA Boult,MK Pandey,0,0,0,,,,,,,,,
2,13,5,PK Garg,TA Boult,MK Pandey,1,0,1,,,,,,,,,
2,13,6,MK Pandey,TA Boult,PK Garg,1,0,1,,,,,,,,,
2,14,1,MK Pandey,NM Coulter-Nile,PK Garg,1,0,1,,,,,,,,,
2,14,2,PK Garg,NM Coulter-Nile,MK Pandey,1,0,1,,,,,,,,,
2,14,3,MK Pandey,NM Coulter-Nile,PK Garg,6,0,6,,,,,,,,,
2,14,4,MK Pandey,NM Coulter-Nile,PK Garg,4,0,4,,,,,,,,,
2,14,5,MK Pandey,NM Coulter-Nile,PK Garg,1,0,1,,,,,,,,,
2,14,6,PK Garg,NM Coulter-Nile,MK Pandey,1,0,1,,,,,,,,,
2,15,1,PK Garg,JJ Bumrah,MK Pandey,0,0,0,,,,,,1.0,PK Garg,,
2,15,2,MK Pandey,JJ Bumrah,JO Holder,0,0,0,,,,,,,,,
2,15,3,MK Pandey,JJ Bumrah,JO Holder,1,0,1,,,,,,,,,
2,15,4,JO Holder,JJ Bumrah,MK Pandey,1,0,1,,,,,,,,,
2,15,5,MK Pandey,JJ Bumrah,JO Holder,0,1,1,,,,,1.0,,,,
2,15,6,MK Pandey,JJ Bumrah,JO Holder,0,1,1,,,,,1.0,,,,
2,15,7,MK Pandey,JJ Bumrah,JO Holder,2,0,2,,,,,,,,,
2,15,8,MK Pandey,JJ Bumrah,JO Holder,4,0,4,,,,,,,,,
